手法,MAE,MAE_std,既知MAE,未知MAE
B2 手書きルール,2758.029633945948,24.340682945516516,2610.7895223644346,3979.1920463561946
C2 文字TF-IDF,2616.959685984114,24.39716214668523,2495.77499541791,3622.0267664792887
D1 e5 埋め込み,2603.180360660462,31.497668215923476,2464.0199437657984,3757.332368437392
D4 埋め込み+文字TF-IDF,2586.876798734376,32.37230742600244,2454.266376056269,3686.7052485293825
F  機能A（埋め込み列）,2580.7790514170492,27.392032371422964,2453.420078228757,3637.053658045594
F+ 機能A+文字TF-IDF,2577.0307289122006,27.932071017425745,2451.2480750462814,3620.231847034383
