fold,MAE_A2' 構造化列のみ,MAE_B2' ＋手書きルール,MAE_F(c)' ＋機能A（埋め込み列）,MAE_CAAFE,CAAFE_採用数,CAAFE_検証MAE_前,CAAFE_検証MAE_後
1,3227.2635716847167,2758.2571564575255,2602.282241720061,2886.3174209287577,7,3449.6213545560554,3098.6717404138485
2,3255.1498426049793,2802.8584305980653,2615.469609377484,2908.0578706929723,8,3547.1256478485057,3224.8346843464838
3,3225.7374416638518,2756.074487551205,2539.2059234654525,2724.2027865775417,6,3454.221566651568,2933.135481723705
4,3219.8545827168214,2739.640796369187,2584.6622426244176,2646.989564761544,8,3336.518446766612,2801.338802335264
5,3221.6737422557176,2733.317298753756,2562.2752398978305,2824.0660580255785,6,3315.780555590449,2986.456048660164
