fold,n,MAE_機能B,MAE_LightGBM,MAE_XGBoost,MAE_近傍5件の中央値,LLMが答えた割合,平均confidence
1,60,11.528333333333334,10.55099421657591,11.189214630126953,28.25,1.0,0.5994999999999998
2,60,13.853333333333333,13.144612635150676,13.86673413594564,35.58500000000001,1.0,0.5903333333333334
3,60,14.020000000000001,13.199479893442023,14.80157689412435,30.74166666666667,1.0,0.6168333333333335
4,60,12.83,13.847653963075034,12.9960999806722,28.10333333333333,1.0,0.6036666666666667
5,60,15.718333333333335,14.183902044816369,14.937928822835287,31.596666666666668,1.0,0.5965
