fold,n,MAE_機能B,MAE_LightGBM,MAE_XGBoost,MAE_近傍5件の中央値,MAE_参考: LightGBM+文字TF-IDF,LLMが答えた割合,平均confidence
1,120,1507.8583333333333,2881.494864141961,3046.157297261556,3054.491666666667,2231.9600587563723,1.0,0.6131666666666666
2,120,1662.2333333333333,3135.1121623878757,2961.8334452311196,3306.108333333333,2777.136850065753,1.0,0.6259166666666666
3,120,1964.3833333333334,4394.765886011039,4499.347346496582,4369.925,3661.1030459675294,1.0,0.6267499999999999
4,120,1308.3416666666667,2622.628082746392,2716.749621582031,3710.3083333333334,2199.945819008057,1.0,0.6269166666666666
5,120,1286.5,2481.1266458756018,2366.3975504557293,2714.2166666666667,2087.7538750711046,1.0,0.6450833333333333
